Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
7.01,0.22,-2.66,-2.5,0.19,9.29,2.61,7.2,-6.74,-4.51,22.26,-2.29,-10.04,-6.44,9.46,-1.88,-11.98,2.87,0.4,-11.86,-0.5
6.22,1.76,-10.52,-1.31,-2.69,10.42,4.49,1.91,-15.74,0.33,19.22,1.07,-6.55,-6.08,7.23,2.85,-12.71,8.63,-1.77,-12.72,5.95
8.07,1.6,-19.8,-1.66,-4.86,11.55,4.54,-7.54,-22.02,4.88,16.03,4.57,-1.57,-3.95,5.61,7.6,-12.19,12.88,-3.76,-10.5,10.45
11.24,-1.47,-28.7,-3.68,-7.18,11.61,2.2,-18.15,-23.58,7.92,17.22,8.51,3.01,-0.55,5.07,12.23,-11.16,13.95,-4.71,-8.83,14.88
14.61,-5.77,-33.76,-6.42,-9.67,10.4,-1.75,-23.85,-18.52,8.96,21.81,11.54,5.9,3.43,5.31,15.05,-9.81,11.66,-4.93,-8.9,14.53
16.03,-10.0,-30.79,-8.1,-10.11,9.88,-3.84,-21.04,-9.73,6.72,24.5,11.15,5.21,5.95,6.0,13.12,-9.36,7.29,-3.01,-8.12,8.08
14.04,-13.73,-22.87,-7.23,-9.54,8.54,-4.34,-10.48,-0.33,2.87,23.3,9.7,2.06,6.42,6.32,7.94,-9.65,2.21,-0.22,-6.77,1.65
9.51,-16.4,-13.59,-5.21,-8.58,6.66,-3.92,3.87,6.83,-1.01,20.4,9.03,-2.09,5.1,5.95,2.67,-10.43,-1.52,1.46,-6.22,-2.62
3.81,-16.08,-5.59,-2.97,-6.62,5.39,-1.99,16.35,8.18,-4.33,17.37,9.05,-6.25,1.97,4.85,-0.75,-12.19,-2.05,1.98,-6.38,-3.79
-1.71,-13.69,-2.84,-0.97,-4.08,5.45,1.18,22.22,2.41,-5.65,16.37,10.04,-8.55,-1.88,3.58,-0.38,-14.42,1.08,2.12,-8.46,-1.88
-5.35,-10.53,-7.67,0.6,-3.42,5.03,2.44,19.79,-7.38,-3.73,19.23,12.9,-7.14,-4.22,1.76,4.13,-15.13,6.37,-0.01,-11.5,3.74
-5.18,-7.75,-17.39,0.88,-3.56,5.25,1.85,9.96,-17.44,0.37,24.3,16.08,-2.81,-4.55,0.09,10.36,-13.99,12.3,-3.65,-14.01,8.89
-1.76,-6.06,-27.61,0.35,-3.38,6.33,0.34,-3.52,-25.44,4.57,29.55,18.01,2.51,-3.46,-1.01,14.87,-12.01,16.76,-6.97,-13.39,11.46
3.26,-6.46,-35.15,-0.64,-3.33,7.34,-2.3,-15.74,-28.29,7.52,33.48,17.82,7.17,-1.08,-1.1,16.86,-9.73,17.86,-8.92,-10.17,11.85
8.48,-7.89,-37.07,-2.07,-3.6,7.64,-6.07,-22.28,-24.36,8.09,33.27,15.46,9.35,1.9,-0.72,16.02,-7.09,15.44,-9.75,-5.83,11.24
12.73,-9.28,-30.89,-3.37,-1.8,9.35,-7.34,-21.14,-16.21,5.52,25.69,11.03,7.8,4.12,0.84,13.08,-5.22,11.66,-7.53,-4.15,5.22
14.41,-9.81,-19.13,-4.2,0.55,10.53,-6.94,-14.25,-7.35,1.11,15.05,7.1,3.43,4.99,2.6,9.16,-4.28,7.4,-3.83,-4.91,-1.51
12.47,-10.35,-5.95,-3.96,1.85,10.55,-5.71,-2.87,-1.09,-3.83,8.3,4.14,-2.48,4.04,3.48,4.65,-4.53,3.8,-1.3,-6.23,-5.0
7.22,-9.64,4.9,-2.92,3.45,10.66,-3.01,8.67,0.17,-8.1,6.96,1.59,-7.97,1.48,3.7,0.4,-6.15,2.93,-0.22,-8.08,-6.14
0.85,-7.17,10.02,-1.48,5.88,11.54,0.8,14.49,-4.38,-10.37,6.99,-0.47,-10.85,-1.17,3.55,-1.5,-8.12,5.46,0.32,-9.81,-4.67
