Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
3.48,47.2,7.35,9.56,-16.8,11.73,5.02,-15.5,9.55,6.26,-1.73,-25.89,1.27,-4.24,-6.79,-13.22,-0.1,-12.69,0.15,-7.71,3.17
3.85,48.36,7.1,12.22,-19.41,10.24,6.37,-10.6,5.38,5.29,-2.08,-24.63,-0.7,-6.09,-6.8,-12.51,-1.76,-13.59,1.93,-6.12,3.76
4.68,48.6,5.63,12.46,-22.38,8.63,6.52,-3.56,-0.18,4.51,-1.55,-19.68,-2.88,-8.08,-6.99,-9.62,-3.71,-15.1,2.88,-3.36,3.29
5.37,48.71,5.38,10.6,-24.95,6.84,5.06,1.23,-3.57,4.83,-0.9,-12.35,-4.55,-10.37,-7.98,-6.87,-6.32,-15.98,2.22,0.63,2.92
6.17,49.56,6.18,8.14,-26.42,5.33,3.13,4.13,-4.1,6.39,-1.22,-5.63,-4.8,-13.16,-9.91,-3.94,-8.72,-19.76,0.91,4.32,3.21
7.91,51.44,6.77,6.5,-26.12,4.56,1.36,3.66,-1.16,8.99,-1.98,-2.4,-3.13,-15.86,-11.96,-2.93,-9.95,-25.12,-0.26,5.97,3.63
8.77,51.79,9.27,5.72,-24.74,4.53,0.35,1.47,4.33,11.62,-3.23,-2.92,-0.83,-17.87,-13.2,-5.09,-9.98,-28.16,-0.99,5.47,3.68
7.97,48.86,12.34,4.09,-22.84,5.51,0.09,-1.5,9.51,14.49,-3.78,-5.88,1.98,-18.78,-13.17,-8.16,-8.89,-28.8,-1.05,3.75,4.3
6.78,45.02,12.61,4.23,-20.79,6.88,0.61,-3.71,12.63,17.07,-3.3,-10.78,4.39,-18.92,-12.35,-10.1,-7.11,-29.34,-0.17,0.71,5.55
7.34,42.74,9.35,5.9,-18.6,6.68,0.54,-6.92,14.02,18.34,-1.57,-15.61,5.92,-18.23,-11.16,-11.05,-5.42,-26.52,0.23,-2.6,6.61
10.01,41.32,5.49,6.45,-16.52,5.53,-0.78,-8.31,13.75,18.78,0.47,-18.87,6.76,-17.4,-10.39,-12.24,-4.04,-23.06,-0.25,-3.95,7.14
12.43,40.75,1.82,5.88,-15.74,3.97,-3.06,-8.67,12.72,18.38,6.2,-19.88,7.31,-16.4,-10.06,-13.17,-2.73,-21.93,-1.19,-3.2,6.47
12.7,40.52,-1.78,4.83,-16.57,1.78,-5.05,-4.18,10.11,16.77,11.44,-18.11,6.86,-15.08,-10.11,-12.1,-2.19,-20.9,-2.31,-0.68,3.94
10.92,40.77,-3.52,3.3,-17.43,0.17,-6.68,0.17,5.27,15.83,11.09,-13.69,5.95,-13.45,-10.33,-10.09,-1.97,-18.22,-3.74,3.67,1.8
8.14,42.15,-2.94,2.22,-17.23,0.3,-7.68,-1.41,0.26,16.51,6.32,-8.16,4.93,-11.82,-10.55,-8.81,-0.85,-17.98,-4.56,8.84,2.21
3.73,42.66,2.54,2.61,-15.62,1.72,-8.04,-5.66,-4.6,17.24,1.19,-4.91,4.09,-10.18,-10.76,-8.62,0.64,-19.25,-4.72,12.83,3.16
-0.16,42.47,6.51,4.22,-12.31,3.47,-7.55,-8.91,-9.09,17.18,-2.42,-5.28,3.65,-8.19,-10.82,-9.7,2.06,-18.97,-4.79,15.68,2.94
-2.37,43.12,5.93,5.42,-8.89,4.01,-6.83,-10.85,-11.91,16.24,-4.12,-8.09,3.86,-6.02,-10.49,-9.21,3.35,-17.93,-4.77,16.64,2.85
-4.49,43.23,2.85,6.62,-6.98,3.9,-5.33,-6.63,-11.93,15.68,-3.96,-13.75,4.88,-3.99,-10.08,-8.11,4.6,-18.21,-3.84,12.68,2.78
-5.45,43.13,0.3,6.59,-6.43,3.4,-3.97,-1.24,-8.83,14.4,-1.53,-19.79,6.04,-2.19,-9.87,-8.01,5.11,-16.1,-3.2,5.73,1.89
-5.88,42.36,-0.3,5.99,-6.72,2.21,-3.47,0.99,-2.9,13.43,2.08,-23.33,7.14,-1.06,-10.22,-8.34,4.81,-13.74,-3.16,-0.97,1.06
-6.35,40.36,0.55,5.5,-8.04,0.73,-3.54,-0.69,5.41,12.24,4.43,-23.12,7.78,-0.92,-10.72,-5.7,3.89,-13.87,-3.03,-5.73,0.65
-5.52,39.31,1.03,4.69,-8.78,-0.48,-4.28,-5.33,15.47,11.37,4.52,-20.79,8.75,-1.62,-11.87,-4.72,2.79,-13.91,-3.42,-7.99,0.43
-3.99,37.7,2.92,4.39,-9.64,-1.16,-5.3,-8.0,22.52,11.57,3.8,-18.32,9.55,-2.53,-13.55,-8.52,1.2,-12.25,-4.7,-6.71,0.65
-2.53,37.19,1.6,3.79,-11.59,-2.17,-5.75,-4.34,24.99,11.77,3.9,-15.62,9.51,-3.56,-14.62,-9.81,-0.95,-13.27,-5.71,-4.25,1.07
-0.78,38.14,0.06,2.28,-13.19,-2.44,-5.27,-3.22,26.31,11.04,3.48,-13.7,9.49,-3.9,-14.53,-11.78,-2.54,-14.99,-5.72,-1.54,2.4
2.22,40.13,0.7,0.08,-13.65,-1.99,-3.94,-2.28,26.36,10.2,-0.72,-13.63,8.39,-4.31,-13.76,-13.25,-3.74,-14.91,-5.46,0.4,2.68
5.23,40.3,3.97,-0.4,-12.82,-0.89,-1.57,1.38,23.88,9.73,-6.82,-15.81,6.23,-5.07,-12.78,-12.2,-4.3,-14.06,-4.86,-0.23,0.74
6.56,39.4,11.05,-0.19,-10.8,2.32,1.29,-1.67,19.26,9.84,-11.24,-19.48,4.78,-5.38,-11.35,-11.52,-3.31,-13.87,-3.22,-2.3,-0.37
6.92,39.55,19.4,-0.33,-9.03,6.55,3.87,-7.52,11.17,10.11,-12.64,-23.6,4.16,-4.74,-9.95,-13.62,-2.25,-10.64,-1.96,-4.89,-0.63
5.32,38.49,28.98,-0.03,-8.04,9.92,5.62,-11.36,-1.5,9.74,-12.33,-24.76,3.77,-3.75,-9.01,-14.0,-1.63,-6.79,-1.26,-6.33,-1.1
4.61,39.15,32.93,1.63,-7.39,10.87,5.96,-14.07,-15.0,9.6,-12.93,-23.18,4.08,-2.83,-8.5,-12.56,-0.3,-4.85,-0.82,-5.21,-1.09
5.7,41.6,31.03,3.74,-6.7,11.13,5.47,-15.87,-26.15,9.03,-13.83,-20.57,4.51,-2.07,-8.83,-12.63,1.27,-2.76,-1.14,-1.79,-1.09
5.96,45.2,28.07,5.95,-7.36,11.09,4.67,-16.26,-33.71,7.72,-15.4,-16.15,4.33,-1.88,-10.01,-12.53,1.47,-0.2,-2.55,2.95,-1.35
6.13,49.93,19.49,8.46,-7.74,10.24,3.62,-15.42,-36.5,7.23,-16.15,-11.71,4.6,-2.2,-11.9,-10.81,1.5,-1.56,-4.02,7.9,-1.23
6.03,53.35,10.84,12.04,-7.13,9.17,3.12,-11.7,-35.64,6.53,-13.46,-10.19,4.76,-2.95,-14.2,-9.14,1.17,-5.59,-5.54,10.61,-2.25
6.07,52.86,5.3,16.56,-5.08,8.61,3.8,-6.09,-32.58,3.92,-10.14,-11.13,4.54,-4.09,-15.99,-7.26,0.7,-8.53,-7.09,10.07,-4.68
7.6,52.2,4.71,19.0,-1.71,9.46,5.04,-6.67,-26.13,3.06,-13.4,-14.87,4.8,-5.31,-17.3,-9.43,1.43,-9.3,-8.15,9.87,-5.01
8.76,52.73,5.16,19.84,0.14,11.35,6.88,-10.85,-17.99,3.71,-17.29,-21.13,5.4,-6.07,-18.24,-13.99,3.11,-10.01,-7.96,9.79,-3.37
10.06,53.43,5.4,18.89,0.97,12.88,8.05,-15.72,-12.28,4.12,-18.97,-26.53,5.38,-6.33,-18.75,-16.96,4.59,-7.06,-7.45,8.36,-2.1
11.52,53.09,5.09,18.37,0.74,13.24,8.9,-16.52,-10.73,3.49,-19.0,-28.94,4.14,-6.82,-19.09,-16.59,5.02,-3.07,-6.74,6.59,-2.64
13.14,50.13,6.61,18.57,1.12,15.11,10.47,-12.85,-13.49,1.89,-18.26,-28.92,1.25,-8.02,-19.28,-15.52,4.82,-0.95,-5.22,3.91,-4.61
12.4,39.56,16.21,14.74,3.48,21.89,12.69,-7.52,-19.05,-0.58,-16.76,-26.15,-2.61,-10.11,-19.45,-11.6,3.71,1.07,-3.65,-0.85,-7.46
10.97,29.24,32.61,10.71,3.32,27.13,14.15,-2.39,-25.37,-4.04,-14.21,-21.16,-7.36,-12.59,-19.52,-9.32,0.77,2.89,-2.71,-3.77,-9.3
9.09,25.53,37.87,8.98,1.44,27.41,14.1,3.02,-28.81,-4.71,-13.13,-15.63,-11.23,-15.22,-18.99,-7.87,-2.0,0.87,-1.21,-2.09,-7.38
6.94,21.38,37.57,8.56,2.46,27.31,13.26,3.82,-28.63,-3.43,-12.07,-12.07,-12.93,-17.57,-17.85,-5.92,-3.17,-2.92,0.78,-1.15,-4.39
5.5,25.77,31.22,8.28,2.89,24.47,11.34,1.25,-25.55,-2.3,-11.81,-10.83,-11.88,-19.38,-16.54,-3.34,-3.51,-5.33,2.24,0.13,-2.76
6.96,34.33,19.08,7.34,3.28,19.85,9.31,0.43,-19.9,-1.36,-15.63,-11.32,-10.01,-21.14,-15.47,1.86,-2.68,-6.52,3.34,-0.06,-1.82
10.45,42.69,10.8,6.45,3.73,16.07,7.66,-3.12,-11.98,-1.4,-18.2,-13.87,-8.7,-22.4,-15.26,5.88,-1.09,-8.15,3.98,-2.01,-1.62
13.62,50.38,4.73,6.33,3.05,13.06,5.81,-5.78,-0.12,-1.87,-22.05,-18.24,-7.79,-23.54,-16.43,4.92,0.45,-6.27,3.14,-1.72,-1.92
16.16,56.66,1.39,5.45,2.26,9.94,2.97,-6.78,12.87,-2.05,-26.84,-21.48,-7.19,-24.77,-18.72,2.2,1.36,-3.63,1.18,0.78,-1.91
19.07,62.01,-0.09,2.86,2.02,7.49,0.05,-8.54,19.79,-1.51,-30.01,-21.06,-7.2,-25.55,-20.76,1.12,1.73,-2.62,-0.04,2.95,-1.77
21.94,66.76,-0.27,-2.25,2.5,6.42,-2.27,-7.6,16.54,-1.07,-30.85,-17.14,-8.05,-26.0,-22.42,2.19,1.58,-1.12,-0.48,3.99,-2.49
22.18,67.14,2.38,-7.26,3.47,6.99,-3.98,-4.75,7.13,-0.22,-29.75,-11.02,-8.56,-26.28,-23.91,4.1,0.81,1.44,-0.67,4.39,-3.7
22.2,64.05,6.1,-8.14,3.74,8.05,-4.77,-0.07,-3.76,-0.02,-27.92,-5.9,-7.99,-26.85,-25.28,5.53,0.28,0.02,0.08,5.12,-4.63
22.96,64.4,6.01,-6.07,4.15,8.71,-5.07,0.1,-11.89,0.44,-26.29,-3.91,-6.07,-26.91,-26.13,5.8,0.85,-3.43,1.31,5.23,-4.47
20.68,64.0,8.03,-2.18,4.16,9.9,-4.53,-3.45,-17.33,0.33,-24.61,-4.48,-3.75,-26.3,-26.31,6.28,1.36,-5.37,2.39,4.01,-3.27
19.88,63.3,10.16,-0.6,7.61,11.78,-4.1,-7.17,-19.28,-0.44,-22.87,-8.49,-0.97,-25.66,-26.37,5.67,2.7,-6.25,2.84,0.78,-2.84
14.39,48.9,22.93,0.74,14.05,17.39,-1.69,-8.9,-17.93,-0.68,-22.65,-14.81,1.43,-25.24,-26.21,4.93,5.01,-7.28,4.05,-4.47,-4.22
12.55,43.31,28.94,1.12,16.64,16.69,-0.78,-13.17,-13.64,-0.66,-23.24,-19.12,2.79,-24.82,-26.15,5.91,5.91,-6.07,4.27,-5.87,-4.94
14.6,45.62,32.47,1.5,16.75,12.03,-1.63,-17.68,-8.71,-1.12,-22.67,-22.29,2.93,-24.49,-26.91,1.15,5.9,-4.47,3.3,-2.78,-3.73
