Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,O2-AV,F4-AV,C4-AV,P4-AV,O2-AV.1,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
12.76,-59.54,56.32,27.8,12.99,18.27,16.77,-1.83,52.77,55.22,1.4,-282.85,-10.1,17.26,13.55,11.07,-10.1,-22.56,12.12,36.49,22.09,10.49
1.27,-64.2,37.06,23.52,2.09,6.89,8.17,-10.6,51.66,51.83,1.09,-157.68,-15.38,18.28,6.27,7.81,-15.38,-29.84,3.59,31.59,14.79,12.37
-9.64,-68.79,15.45,27.0,-10.87,-3.8,-0.83,-21.25,48.12,47.7,-1.42,-3.2,-21.44,7.52,-4.64,-0.29,-21.44,-31.48,-7.57,22.24,6.57,11.17
-18.12,-72.3,-1.75,37.11,-20.31,-10.04,-7.56,-30.84,45.17,44.8,-3.87,118.03,-27.64,-8.5,-14.87,-7.8,-27.64,-25.9,-16.89,13.67,-0.2,8.34
-24.18,-74.67,-12.15,49.08,-22.75,-10.07,-10.93,-36.24,44.53,46.45,-4.58,161.78,-31.32,-21.11,-20.77,-9.96,-31.32,-15.07,-21.11,10.27,-4.12,7.3
-26.4,-72.9,-14.28,58.21,-17.03,-3.7,-10.09,-35.7,47.75,53.41,-2.94,109.37,-30.6,-25.46,-20.65,-6.63,-30.6,-2.13,-18.77,13.02,-3.5,9.29
-24.73,-66.72,-7.58,59.98,-4.94,6.46,-5.65,-30.32,53.84,62.92,0.3,-18.5,-25.87,-17.94,-14.99,1.06,-25.87,8.81,-10.71,19.74,1.2,13.86
-21.59,-59.36,5.47,52.95,10.3,16.6,-0.26,-22.8,59.87,72.98,3.49,-174.96,-18.55,1.4,-5.57,12.42,-18.55,13.84,0.29,27.53,6.92,19.02
-17.79,-52.55,20.39,39.82,22.46,23.31,4.35,-15.68,62.58,80.66,4.17,-297.15,-10.79,24.41,3.41,20.72,-10.79,11.17,9.73,32.23,12.09,22.49
-15.09,-47.03,31.98,24.5,27.57,24.71,6.68,-11.25,61.23,83.23,2.98,-340.45,-5.46,42.24,8.28,22.6,-5.46,2.18,14.24,31.15,13.27,22.57
