Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
369.23,175.95,62.53,28.73,-83.73,-250.79,-255.85,-71.55,420.0,-105.91,31.8,98.21,73.03,-31.12,-29.88,-21.92,66.82,-18.28,-420.0,-70.12,-72.6
367.51,198.49,38.29,-13.47,-25.83,-134.33,-142.68,-94.57,420.0,-157.32,-34.7,60.8,23.48,-71.92,-51.86,-40.72,73.29,-53.68,-255.27,-78.61,-125.85
351.85,233.89,7.07,-56.9,57.41,5.78,3.91,-107.61,420.0,-220.05,-86.2,6.83,-41.71,-125.27,-82.2,-61.86,58.55,-96.31,-33.84,-86.57,-195.29
352.47,280.5,-20.57,-92.58,130.15,90.02,107.96,-124.88,420.0,-267.23,-116.85,-32.52,-80.79,-167.5,-108.29,-73.81,23.8,-122.31,144.34,-101.61,-239.87
355.23,319.84,-29.34,-105.53,168.95,105.82,138.88,-123.12,400.91,-282.45,-130.84,-48.14,-93.8,-176.24,-119.4,-88.92,-9.2,-121.16,208.91,-118.51,-251.44
355.34,331.95,-15.13,-79.99,145.1,22.14,65.94,-86.07,416.38,-251.94,-103.11,-19.3,-77.79,-151.97,-110.17,-76.93,-42.41,-96.6,119.3,-122.06,-223.05
351.45,317.07,9.63,-40.34,81.21,-96.87,-49.8,-59.36,420.0,-197.61,-42.76,29.86,-34.74,-111.84,-90.94,-49.88,-54.07,-61.06,-65.4,-126.37,-161.85
354.02,281.4,51.12,10.3,-7.41,-236.8,-196.32,-34.75,420.0,-140.55,16.78,88.12,27.87,-58.66,-66.74,-24.05,-41.69,-17.13,-285.76,-120.61,-97.76
350.24,229.73,82.25,45.95,-72.62,-314.9,-295.81,-27.25,420.0,-109.25,40.0,134.27,74.44,-13.86,-46.38,-3.73,-7.61,15.05,-420.0,-94.2,-54.71
331.95,180.98,93.8,64.42,-101.87,-318.84,-318.28,-27.78,420.0,-111.29,19.78,155.28,88.37,5.33,-35.01,9.55,30.86,24.04,-420.0,-59.94,-47.87
323.6,165.46,77.1,43.2,-74.88,-229.03,-243.69,-60.01,420.0,-141.41,-23.83,122.54,62.43,-14.5,-46.23,-3.96,64.83,3.23,-415.79,-49.28,-77.36
331.88,187.19,49.86,-0.15,-16.83,-117.56,-132.05,-96.16,420.0,-194.38,-64.08,73.01,18.89,-53.43,-69.19,-27.64,77.74,-32.87,-239.71,-52.91,-132.73
331.83,234.93,13.89,-60.23,73.67,21.48,6.97,-127.44,420.0,-253.11,-110.84,14.77,-35.15,-108.15,-100.41,-58.31,72.53,-75.12,-20.12,-69.69,-203.3
325.83,280.86,-8.13,-103.11,147.01,107.09,103.79,-134.35,413.58,-293.57,-151.78,-25.3,-74.07,-146.09,-122.69,-75.64,43.07,-102.31,152.92,-84.62,-251.45
317.61,311.61,-7.99,-114.06,182.98,123.77,135.12,-117.23,378.16,-316.16,-162.17,-36.76,-89.67,-156.51,-130.12,-76.01,9.29,-103.12,214.41,-99.18,-264.71
311.0,318.3,9.8,-103.97,163.64,46.24,68.54,-90.45,362.45,-291.71,-127.25,-6.91,-56.89,-129.32,-117.31,-54.14,-12.51,-71.64,127.31,-112.98,-232.35
303.07,301.06,33.55,-58.83,111.64,-66.27,-45.17,-66.55,376.86,-242.32,-83.15,37.89,1.35,-84.63,-93.75,-30.92,-16.64,-32.43,-54.21,-113.34,-177.44
298.78,260.7,69.55,9.96,24.33,-205.87,-189.08,-40.73,414.11,-182.29,-28.66,96.89,58.6,-34.23,-65.54,-3.15,-9.72,5.88,-278.05,-98.19,-102.93
302.81,212.65,95.21,53.4,-50.91,-294.58,-293.77,-33.39,420.0,-136.91,20.65,142.3,89.88,-1.46,-45.78,13.83,17.45,26.82,-420.0,-77.76,-49.5
305.45,162.53,102.5,61.11,-85.65,-303.22,-323.48,-42.67,420.0,-120.86,28.15,157.33,94.75,12.1,-34.89,16.3,53.93,28.33,-420.0,-58.41,-35.97
302.32,132.48,89.16,36.0,-60.21,-215.93,-249.64,-70.14,420.0,-151.99,-5.95,133.06,67.03,-5.91,-39.87,4.21,82.5,6.33,-420.0,-44.05,-74.01
293.26,136.34,64.68,4.79,0.59,-96.05,-132.31,-94.04,420.0,-210.86,-52.93,95.37,15.36,-40.5,-55.75,-16.59,89.66,-24.72,-240.32,-36.88,-132.42
280.35,184.66,42.29,-44.2,80.47,43.17,11.89,-118.89,369.26,-276.81,-116.52,49.4,-55.93,-92.17,-78.66,-33.57,79.52,-64.38,-21.21,-44.0,-194.02
272.58,228.62,16.11,-78.68,144.79,129.84,116.67,-120.97,328.62,-322.41,-162.71,18.6,-109.07,-128.73,-94.03,-55.72,46.9,-90.27,161.3,-60.63,-240.46
265.92,258.87,3.54,-79.03,185.85,156.34,147.64,-98.66,304.3,-340.94,-183.76,-2.37,-123.5,-138.08,-107.86,-72.29,12.6,-93.67,230.35,-64.79,-260.51
