Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
3.06,-1.57,-4.2,8.56,11.02,-26.95,-7.75,-8.96,-7.37,2.36,10.87,26.19,-4.02,-18.84,-0.13,9.78,2.22,-10.4,-3.96,7.19,13.07
3.54,-1.39,-12.03,10.07,7.81,-32.3,-9.57,-14.24,-10.33,6.8,17.73,27.05,0.02,-15.31,-0.72,11.74,3.53,-9.5,-6.91,8.26,15.81
5.35,-2.04,-16.67,10.4,4.04,-38.7,-13.78,-12.96,-7.6,9.61,22.44,26.32,3.0,-12.01,-1.97,13.43,5.74,-10.66,-12.04,10.3,17.84
7.12,-2.81,-16.71,9.0,1.15,-44.56,-18.41,-6.61,-1.3,10.28,26.23,23.93,3.97,-9.75,-3.28,13.83,7.95,-13.69,-17.39,12.79,18.2
8.42,-3.48,-12.31,6.04,-0.89,-49.7,-23.29,1.73,7.18,9.67,27.58,21.98,3.17,-8.64,-4.75,13.19,9.77,-18.22,-22.36,17.1,17.57
9.43,-3.61,-3.93,3.18,-0.14,-51.47,-25.19,9.72,14.25,8.05,23.6,20.61,0.12,-9.43,-5.95,11.64,10.59,-22.27,-25.48,19.33,16.51
9.26,-3.18,5.68,2.85,3.53,-49.26,-21.69,15.25,16.0,5.55,16.16,19.92,-4.42,-12.07,-6.64,9.45,9.63,-24.48,-25.13,17.96,15.28
8.05,-2.01,11.52,5.39,7.7,-45.77,-15.83,17.04,12.52,3.73,11.05,19.76,-8.19,-15.21,-7.72,7.82,8.05,-24.7,-23.34,14.69,15.19
6.46,-0.2,12.33,9.96,10.74,-41.78,-9.1,16.19,5.11,2.92,7.09,19.19,-10.35,-18.02,-9.25,7.76,6.38,-23.05,-21.25,12.91,15.8
4.89,2.18,8.66,15.3,12.53,-37.56,-2.81,13.04,-4.37,3.58,0.61,18.75,-10.26,-20.03,-11.11,9.42,5.18,-19.75,-19.28,13.55,17.47
3.9,4.21,0.68,19.73,12.61,-35.25,-0.24,7.98,-11.48,6.66,-4.13,18.9,-7.34,-20.28,-13.73,12.53,5.7,-16.28,-19.0,14.25,20.52
4.55,5.09,-10.02,21.07,9.92,-35.5,-3.99,4.19,-12.12,10.43,-2.46,19.65,-2.24,-18.4,-17.19,16.14,8.3,-14.11,-22.21,14.61,24.26
6.92,4.56,-18.83,18.31,6.58,-36.51,-11.8,2.14,-6.64,13.21,2.2,21.23,2.83,-15.71,-20.49,19.22,11.97,-13.56,-27.5,14.25,27.57
9.89,3.37,-22.44,12.76,3.54,-37.07,-21.04,2.58,2.29,14.68,6.8,23.32,6.46,-13.3,-23.2,20.67,15.38,-14.46,-32.8,13.71,28.93
12.48,1.72,-20.92,6.06,1.09,-36.92,-30.04,6.3,12.36,14.8,12.06,24.84,8.22,-11.54,-25.49,20.11,18.13,-16.52,-36.94,12.33,28.09
13.62,0.0,-14.75,0.16,1.72,-33.96,-35.1,12.68,19.58,12.66,15.05,23.71,7.12,-11.1,-26.93,17.57,18.93,-18.22,-38.47,10.85,25.12
12.39,-0.84,-6.44,-2.8,5.75,-27.77,-34.36,16.52,21.12,9.07,13.35,20.33,4.14,-11.97,-26.93,13.92,17.47,-18.5,-35.89,10.94,20.84
9.33,0.03,0.17,-2.81,10.16,-20.76,-30.58,14.55,17.62,6.24,8.49,17.25,1.29,-12.76,-26.06,11.16,15.14,-17.27,-31.3,12.6,17.85
5.48,1.7,3.36,-0.53,13.93,-13.36,-24.78,8.65,9.73,4.37,1.83,15.16,-0.71,-12.88,-24.54,10.44,12.77,-14.38,-25.69,12.67,17.15
1.46,3.03,2.28,3.09,16.93,-5.84,-18.0,0.31,-0.89,4.05,-5.81,14.09,-1.29,-12.24,-22.55,12.41,10.64,-9.84,-19.69,10.48,17.85
-2.18,2.89,-4.11,6.72,16.87,-0.85,-13.86,-9.15,-10.3,5.44,-10.96,15.99,0.23,-10.23,-20.73,17.19,9.54,-5.32,-15.29,9.2,19.31
-3.9,0.42,-13.9,8.17,12.47,0.66,-14.65,-15.19,-14.43,7.59,-9.49,19.65,3.25,-6.8,-19.74,23.08,9.75,-2.27,-14.65,9.5,20.73
-3.88,-3.72,-21.05,7.16,6.12,0.79,-18.15,-15.99,-12.37,8.58,-3.13,21.88,6.04,-2.98,-19.34,27.32,10.39,-0.94,-16.28,9.03,20.59
-3.25,-7.88,-21.35,4.48,0.45,0.86,-22.24,-13.42,-5.68,7.81,3.97,21.57,7.51,0.2,-19.1,29.4,10.77,-1.19,-18.2,6.52,18.8
-2.98,-11.68,-16.51,1.37,-4.11,0.63,-26.0,-6.77,2.99,5.05,9.75,19.74,6.59,2.14,-18.7,29.18,10.48,-2.89,-19.65,5.99,15.23
-2.97,-14.55,-8.0,-0.91,-5.02,2.75,-26.14,2.65,9.58,0.16,11.72,17.08,3.2,2.38,-17.25,25.86,8.88,-4.27,-18.9,3.01,10.6
-3.88,-15.77,1.29,-1.07,-1.89,7.31,-21.31,10.13,9.74,-6.26,9.12,15.55,-1.81,1.01,-14.38,20.87,5.82,-4.11,-14.49,-1.62,5.72
-5.42,-14.75,7.32,0.45,2.67,11.9,-14.69,12.19,4.5,-11.58,5.29,15.54,-6.19,-0.29,-11.35,16.45,2.94,-2.25,-8.66,-6.63,2.61
-7.01,-12.4,9.72,3.62,7.29,16.07,-7.44,8.47,-4.35,-14.93,2.28,15.62,-9.99,-1.48,-8.94,12.78,0.58,0.98,-2.94,-9.54,1.54
-8.53,-9.82,9.18,8.14,10.82,19.74,-0.1,1.0,-15.01,-16.14,-0.45,14.8,-11.98,-2.51,-7.26,10.13,-1.49,5.13,2.07,-10.0,2.07
-9.85,-8.16,5.24,12.06,10.93,20.84,4.06,-7.95,-23.29,-14.68,-2.35,14.13,-10.47,-2.17,-6.28,9.61,-2.68,8.88,5.23,-7.44,4.14
-9.66,-8.05,-1.28,12.48,7.17,18.65,2.25,-14.56,-25.19,-11.3,0.07,14.22,-6.03,0.29,-6.05,11.03,-2.26,10.98,4.99,-5.09,7.25
-8.1,-9.59,-6.5,9.56,1.73,15.15,-3.0,-15.76,-20.99,-8.89,4.17,13.91,-1.46,3.36,-5.75,13.11,-1.35,11.2,2.6,-2.75,9.4
-6.29,-12.06,-8.53,5.44,-3.48,11.51,-8.62,-10.48,-13.1,-8.08,8.68,12.47,1.41,5.92,-4.97,14.98,-0.94,9.33,-0.21,-1.6,8.83
-4.2,-14.53,-8.09,1.41,-7.38,7.64,-13.83,-2.0,-3.35,-8.18,12.57,9.74,2.16,7.85,-4.1,15.36,-0.25,5.73,-2.85,-0.5,7.05
-2.44,-16.01,-4.67,-1.3,-7.9,5.87,-15.77,5.36,4.12,-9.6,13.45,6.14,1.14,8.24,-3.07,13.47,-0.19,2.04,-4.06,0.9,4.38
-1.99,-16.23,1.46,-0.18,-4.5,6.57,-12.27,9.38,6.35,-11.82,9.31,2.44,-0.55,7.07,-1.49,9.31,-1.16,-0.08,-1.87,-0.84,1.25
-2.45,-14.83,6.08,3.37,0.41,7.93,-6.28,8.78,3.92,-13.11,0.98,0.44,-1.47,5.61,-0.11,5.02,-2.02,-0.32,1.8,-3.16,-0.44
-3.37,-12.66,7.26,7.43,5.6,9.95,0.98,4.68,-1.76,-13.1,-9.98,0.93,-0.78,4.42,1.2,2.59,-2.51,1.27,6.09,-7.69,-0.47
-4.41,-10.65,4.72,10.65,9.37,11.97,8.21,-2.32,-9.16,-12.04,-17.97,2.87,1.71,3.67,2.22,2.28,-2.8,4.36,10.04,-13.58,0.95
-4.93,-9.41,-0.93,11.95,10.19,11.37,11.69,-10.72,-14.52,-9.62,-19.73,6.07,6.21,4.04,2.2,4.19,-1.97,6.98,11.67,-17.64,2.84
-3.5,-9.12,-8.82,10.3,7.75,7.59,9.1,-15.95,-14.13,-6.34,-15.61,9.54,12.07,5.85,0.88,7.65,0.82,7.83,9.32,-19.96,4.56
-0.61,-9.8,-15.1,6.13,4.17,2.95,3.14,-16.05,-8.42,-3.47,-9.64,10.72,16.73,7.77,-1.02,10.17,4.39,6.93,4.77,-19.0,5.1
2.6,-10.47,-16.69,0.43,2.22,-1.08,-3.8,-12.84,0.62,-1.53,-4.44,9.5,19.0,9.26,-3.09,9.74,7.9,4.66,-0.15,-16.62,4.8
5.45,-11.11,-13.44,-5.12,2.51,-4.41,-10.55,-6.99,11.54,-1.13,-0.07,6.42,18.95,10.27,-5.43,5.68,11.19,1.16,-4.47,-13.72,3.28
7.48,-11.43,-6.32,-9.34,5.9,-5.08,-13.56,-0.05,20.05,-2.87,2.96,1.45,16.23,9.94,-7.19,-1.55,13.13,-1.99,-6.61,-11.22,0.13
7.92,-10.97,0.97,-10.28,11.73,-2.93,-10.89,5.15,22.24,-6.02,2.04,-3.82,12.15,8.19,-7.56,-9.74,13.2,-3.48,-4.53,-8.87,-4.31
7.31,-9.78,3.77,-7.81,17.14,-0.06,-5.07,7.69,18.31,-8.11,-3.79,-7.26,9.31,6.65,-7.42,-16.24,12.79,-2.82,-0.3,-6.19,-7.77
6.31,-8.36,1.7,-3.22,21.45,3.01,2.15,7.22,10.13,-8.82,-12.09,-9.32,8.55,5.51,-7.11,-19.84,12.35,-0.17,4.46,-4.28,-9.2
4.73,-6.77,-3.37,1.33,24.38,5.6,9.07,1.89,-0.17,-7.98,-18.83,-10.24,10.1,4.79,-6.57,-19.84,12.17,3.82,8.91,-4.27,-8.41
3.29,-5.64,-10.11,4.46,24.34,5.15,12.14,-6.92,-8.81,-6.01,-19.17,-9.62,13.71,5.1,-6.62,-16.93,12.93,7.36,11.0,-2.9,-6.54
3.75,-5.24,-16.81,4.06,21.2,1.35,9.17,-15.57,-11.8,-3.12,-9.57,-8.45,18.64,7.01,-7.66,-12.84,15.61,9.09,8.99,-3.52,-4.17
7.26,-4.77,-20.29,-1.08,17.98,-3.13,2.42,-22.96,-8.49,-0.52,2.65,-8.01,23.34,9.69,-8.87,-10.69,19.9,9.27,4.92,-6.7,-1.9
12.64,-3.4,-19.44,-9.34,16.41,-6.65,-5.13,-28.28,-1.01,1.48,9.32,-7.96,26.33,12.12,-9.9,-10.86,24.76,8.03,0.82,-10.36,0.53
17.58,-2.53,-14.57,-16.57,15.59,-9.43,-11.76,-27.08,7.88,2.08,12.23,-8.13,26.69,13.12,-11.23,-12.72,28.66,4.95,-2.88,-13.42,1.57
20.84,-2.23,-6.89,-20.41,16.73,-9.91,-14.16,-19.72,13.94,0.16,14.23,-9.42,23.48,11.27,-12.48,-16.27,29.82,1.05,-5.0,-14.66,-0.28
21.59,-1.36,1.57,-19.67,20.42,-7.86,-10.89,-11.95,14.46,-3.38,13.79,-12.11,18.24,6.94,-13.27,-20.59,28.32,-2.09,-3.85,-13.98,-4.21
20.18,0.5,7.24,-15.2,24.61,-5.14,-5.06,-8.81,10.73,-5.6,11.19,-13.82,12.99,2.43,-13.76,-22.55,26.25,-3.84,-1.28,-13.94,-6.92
17.54,2.62,8.88,-9.06,28.26,-2.33,1.44,-11.44,4.11,-6.01,6.79,-13.55,8.79,-1.3,-13.87,-21.47,24.11,-3.94,1.54,-12.86,-7.94
